DATAFLOW,LAST UPDATE,freq,incsrc,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,PT,1995,3707,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,PT,1996,6331,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,PT,1997,6125,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,PT,1998,4019,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,PT,1999,5429,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,PT,2000,8779,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,PT,2001,7475,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,UK,1995,8633,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,UK,1996,13134,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,UK,1997,12120,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,UK,1998,10548,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,UK,1999,9626,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,UK,2000,10394,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,UK,2001,11845,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,AT,1995,9360,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,AT,1996,8217,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,AT,1997,7866,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,AT,1998,7905,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,AT,1999,7377,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,AT,2000,9045,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,AT,2001,7159,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,BE,1995,15118,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,BE,1996,16577,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,BE,1997,20935,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,BE,1998,27198,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,BE,1999,27286,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,BE,2000,21857,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,BE,2001,30477,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,DE,1995,7947,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,DE,1996,14967,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,DE,1997,12629,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,DE,1998,11296,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,DE,1999,9416,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,DE,2000,13815,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,DE,2001,12394,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EA12,1995,7912,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EA12,1996,10054,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EA12,1997,8761,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EA12,1998,10112,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EA12,1999,10437,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EA12,2000,10639,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,PPS,EA12,2001,11584,e
